"idEmployee","fullName","email","password","idBranch","idRole","enabled","idCity","address","lastUpdate"
5482,Isabella Moen,Isabella.Moen@milkco.dom,"5306449",453,7,1,275,"3577 CrossoQer","2020-06-23 21:25:50"
5483,Geo Walsh,Geo.Walsh@milkco.dom,"872650",453,7,1,275,"9111 Tomaso Apt. 995","2020-06-26 20:09:08"
5484,Nicholas Pacocha,Nicholas_Pacocha@milkco.dom,"76651594",453,5,1,275,"41 Encanto","2020-06-28 13:29:44"
5485,Kaleigh Lind,Kaleigh.Lind1986@milkco.dom,"17977417",453,5,1,275,"81 Leroy","2020-06-29 11:13:29"
5486,Tremayne Herzog,Tremayne.Herzog@milkco.dom,"2277265",453,4,1,275,"7965 VerdDn","2020-07-01 16:21:20"
5487,Rogers Okuneva,OkunevaRogers@milkco.dom,"932171",453,7,1,275,"097 Ee Povin","2020-07-02 12:28:53"
5488,Hayley Russel,Hayley.Russel@milkco.dom,"7132792",453,7,1,275,"78 Lakejood","2020-07-05 11:57:47"
5489,Aylin Zieme,Zieme.Aylin@milkco.dom,"168785",453,7,1,275,"65 Montccair","2020-07-07 22:24:50"
5490,Elda Fadel,Fadel.Elda@milkco.dom,"9183",453,7,1,275,"090 Greery SBite 08","2020-07-09 02:30:23"
5491,River Pfeffer,Pfeffer.River@milkco.dom,"8515359",453,6,1,275,"80 Jessie","2020-07-09 14:16:53"
5492,Vicente Klein,KleinVicente@milkco.dom,"2389227",453,7,1,275,"820 Taykor","2020-07-09 21:13:05"
5493,Arden Hermiston,Arden_Hermiston@milkco.dom,"9143222",453,2,1,275,"1299 Park Presidio Apt. 604","2020-07-11 15:20:35"
5494,Destinee Koepp,Destinee.Koepp@milkco.dom,"3011968",453,7,1,275,"1 Rosie Lee Apt. 41","2020-07-13 22:11:14"
5495,Howard Kshlerin,KshlerinHoward@milkco.dom,"31676249",453,4,1,275,"9103 Campton","2020-07-14 16:33:23"
5496,Richie Terry,Richie1968@milkco.dom,"14761789",453,4,0,275,"5977 Todd Apt. 928","2020-07-15 12:08:08"
5497,Kay Legros,Kay.Legros@milkco.dom,"700644",453,7,1,275,"0131 Prospect","2020-07-18 10:22:08"
5498,Rudy Gleichner,Rudy.Gleichner@milkco.dom,"14229277",453,4,1,275,"753 Lee","2020-07-21 09:30:20"
5499,Rollin Graham,Rollin.Graham@milkco.dom,"412149",453,6,1,275,"895  5Th Apt. 91","2020-07-23 16:57:14"
